car_ID,brand,model,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,power_to_weight,car_volume,mpg_ratio,is_luxury,city_score,outdoor_score,sport_score,city_score_normalized,outdoor_score_normalized,sport_score_normalized
1,alfa-romeo,giulia,3,gas,standard,2,convertible,Rear Wheel Drive,front,88.6,168.8,64.1,48.8,2548,DOHC (Double Overhead Camshaft),4,2.17,Multi-Point Fuel Injection,3.47,2.68,9.0,111,5000,21,27,13495,0.04356357927786499,528019.904,0.7777777777777778,0,3.420573280275559,2.224952931278267,2.6361243820152724,0.06022346416506119,0.15613197954310376,0.2091420035457532
2,alfa-romeo,stelvio,3,gas,standard,2,convertible,Rear Wheel Drive,front,88.6,168.8,64.1,48.8,2548,DOHC (Double Overhead Camshaft),4,2.17,Multi-Point Fuel Injection,3.47,2.68,9.0,111,5000,21,27,16500,0.04356357927786499,528019.904,0.7777777777777778,0,3.420573280275559,2.224952931278267,2.6361243820152724,0.06022346416506119,0.15613197954310376,0.2091420035457532
3,alfa-romeo,quadrifoglio,1,gas,standard,2,hatchback,Rear Wheel Drive,front,94.5,171.2,65.5,52.4,2823,OHC (Overhead Camshaft),6,2.53,Multi-Point Fuel Injection,2.68,3.47,9.0,154,5000,19,26,16500,0.05455189514700673,587592.6399999999,0.7307692307692307,0,3.701658985518562,2.925202860044697,3.4430461494163027,0.11952614150210841,0.32838674118555994,0.3705002733127181
4,audi,100ls,2,gas,standard,4,sedan,Front Wheel Drive,front,99.8,176.6,66.2,54.3,2337,OHC (Overhead Camshaft),4,1.82,Multi-Point Fuel Injection,3.19,3.4,10.0,102,5500,24,30,13950,0.043645699614890884,634816.956,0.8,0,5.705351516172459,3.694203139638989,4.0235281978236275,0.5422595975677383,0.5175534292819763,0.48657791893562874
5,audi,100ls,2,gas,standard,4,sedan,Four Wheel Drive,front,99.4,176.6,66.4,54.3,2824,OHC (Overhead Camshaft),5,2.27,Multi-Point Fuel Injection,3.19,3.4,8.0,115,5500,18,22,17450,0.04072237960339943,636734.8319999999,0.8181818181818182,1,5.573226082888456,3.8942035334117264,4.412434720378368,0.5143841425306884,0.5667516065933395,0.5643466520590871
6,audi,fox,2,gas,standard,2,sedan,Front Wheel Drive,front,99.8,177.3,66.3,53.1,2507,OHC (Overhead Camshaft),5,2.27,Multi-Point Fuel Injection,3.19,3.4,8.5,110,5500,19,25,15250,0.043877143996808934,624189.969,0.76,0,4.290773561071676,2.8331040175174786,3.228371666858053,0.24381588992021117,0.305731309866889,0.32757231614496674
7,audi,100ls,1,gas,standard,4,sedan,Front Wheel Drive,front,105.8,192.7,71.4,55.7,2844,OHC (Overhead Camshaft),5,2.27,Multi-Point Fuel Injection,3.19,3.4,8.5,110,5500,19,25,17710,0.03867791842475387,766364.0460000001,0.76,1,6.6293704534738405,3.945472476502813,4.471461615370153,0.7372065332176049,0.5793632745264917,0.5761501230154694
8,audi,5000,1,gas,standard,4,wagon,Front Wheel Drive,front,105.8,192.7,71.4,55.7,2954,OHC (Overhead Camshaft),5,2.27,Multi-Point Fuel Injection,3.19,3.4,8.5,110,5500,19,25,18920,0.037237643872714964,766364.0460000001,0.76,1,6.67203918892768,3.923525705260627,4.492183579581806,0.7462086638980369,0.5739645794408614,0.5802938460211515
9,audi,4000,1,gas,turbo,4,sedan,Front Wheel Drive,front,105.8,192.7,71.4,55.9,3086,OHC (Overhead Camshaft),5,2.18,Multi-Point Fuel Injection,3.13,3.4,8.3,140,5500,17,20,23875,0.04536616979909268,769115.802,0.85,1,6.788860179783706,4.16864593960061,4.788506296466399,0.7708552303996661,0.6342618044821517,0.6395488107783249
10,audi,5000s,0,gas,turbo,2,hatchback,Four Wheel Drive,front,99.5,178.2,67.9,52.0,3053,OHC (Overhead Camshaft),5,2.18,Multi-Point Fuel Injection,3.13,3.4,7.0,160,5500,16,22,17859,0.05240746806419915,629188.56,0.7272727272727273,1,3.916039583101258,2.6506004593140973,3.2576601955437328,0.16475556145706163,0.2608371861750756,0.33342907513160674
11,bmw,320i,2,gas,standard,2,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2395,OHC (Overhead Camshaft),4,1.8,Multi-Point Fuel Injection,3.5,2.8,8.8,101,5800,23,29,16430,0.042171189979123176,622095.5519999999,0.7931034482758621,0,4.5509958952270395,2.7038492098092908,3.055672328505955,0.29871687147303577,0.2739358677279125,0.29303803097362013
12,bmw,320i,0,gas,standard,4,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2395,OHC (Overhead Camshaft),4,1.8,Multi-Point Fuel Injection,3.5,2.8,8.8,101,5800,23,29,16925,0.042171189979123176,622095.5519999999,0.7931034482758621,1,5.150995895227039,3.3038492098092913,3.655672328505955,0.42530319635023806,0.42153010906906,0.41301863599807614
13,bmw,x1,0,gas,standard,2,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2710,OHC (Overhead Camshaft),6,2.73,Multi-Point Fuel Injection,3.31,3.19,9.0,121,4250,21,28,20970,0.044649446494464944,622095.5519999999,0.75,1,4.081594424295238,2.8358303418777626,3.3098412030104236,0.19968385964435298,0.306401959492899,0.34386358987600546
14,bmw,x3,0,gas,standard,4,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2765,OHC (Overhead Camshaft),6,2.73,Multi-Point Fuel Injection,3.31,3.19,9.0,121,4250,21,28,21105,0.04376130198915009,622095.5519999999,0.75,1,5.102928792022159,3.822296877538928,4.317642106398509,0.41516213311323985,0.5490632593917982,0.5453911934304985
15,bmw,z4,1,gas,standard,4,sedan,Rear Wheel Drive,front,103.5,189.0,66.9,55.7,3055,OHC (Overhead Camshaft),6,2.73,Multi-Point Fuel Injection,3.31,3.19,9.0,121,4250,20,25,24565,0.03960720130932897,704276.3700000001,0.8,1,6.1856960155309055,4.142719133453615,4.750554664873321,0.6436013389823474,0.627884059009377,0.6319597112446537
16,bmw,x4,0,gas,standard,4,sedan,Rear Wheel Drive,front,103.5,189.0,66.9,55.7,3230,OHC (Overhead Camshaft),6,3.48,Multi-Point Fuel Injection,3.62,3.39,8.0,182,5400,16,22,30760,0.056346749226006194,704276.3700000001,0.7272727272727273,1,5.678395648187703,4.6220295198821795,5.297747130432994,0.5365725237976294,0.7457898137624707,0.7413805163824426
17,bmw,x5,0,gas,standard,2,sedan,Rear Wheel Drive,front,103.5,193.8,67.9,53.7,3380,OHC (Overhead Camshaft),6,3.48,Multi-Point Fuel Injection,3.62,3.39,8.0,182,5400,16,22,41315,0.05384615384615385,706639.3740000002,0.7272727272727273,1,4.730895906405533,3.417259010657719,4.151161260463771,0.336671673573791,0.4494278315971839,0.5121004057301098
18,bmw,x3,0,gas,standard,4,sedan,Rear Wheel Drive,front,110.0,197.0,70.9,56.3,3505,OHC (Overhead Camshaft),6,3.48,Multi-Point Fuel Injection,3.62,3.39,8.0,182,5400,15,20,36880,0.051925820256776035,786358.99,0.75,1,6.663418152585819,4.794168183773348,5.576557632958763,0.7443898217194551,0.7881342729332969,0.7971336043494665
19,chevrolet,impala,2,gas,standard,2,hatchback,Front Wheel Drive,front,88.4,141.1,60.3,53.2,1488,Inline Engine,3,1.02,2-Barrel Carburetor,2.91,3.03,9.5,48,5100,47,53,5151,0.03225806451612903,452643.156,0.8867924528301887,0,3.932442123558392,1.5902453242969525,1.5902453242969525,0.16821612364892533,0.0,0.0
20,chevrolet,monte carlo,1,gas,standard,2,hatchback,Front Wheel Drive,front,94.5,155.9,63.6,52.0,1874,OHC (Overhead Camshaft),4,1.5,2-Barrel Carburetor,3.03,3.11,9.6,70,5400,38,43,6295,0.03735325506937033,515592.48,0.8837209302325582,0,4.094960340167291,1.846238139305827,1.9959666109893024,0.20250376325912142,0.06297177553336583,0.08113114241441483
21,chevrolet,vega 2300,0,gas,standard,4,sedan,Front Wheel Drive,front,94.5,158.8,63.6,52.0,1909,OHC (Overhead Camshaft),4,1.5,2-Barrel Carburetor,3.03,3.11,9.6,70,5400,38,43,6575,0.03666841278156103,525183.36,0.8837209302325582,0,4.976201999180736,2.635802575470967,2.7991074629806647,0.38842566816445595,0.25719704877627353,0.24173335131738263
22,dodge,rampage,1,gas,standard,2,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.8,1876,OHC (Overhead Camshaft),4,1.5,2-Barrel Carburetor,2.97,3.23,9.41,68,5500,37,41,5572,0.03624733475479744,509815.59199999995,0.9024390243902439,0,3.962525570770802,1.6977292787085396,1.8482335455820849,0.17456304535268585,0.026440021179541112,0.05158930479828901
23,dodge,challenger se,1,gas,standard,2,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.8,1876,OHC (Overhead Camshaft),4,1.5,2-Barrel Carburetor,2.97,3.23,9.4,68,5500,31,38,6377,0.03624733475479744,509815.59199999995,0.8157894736842105,0,3.4963490429768163,1.6977292787085396,1.8482335455820849,0.07621042302359313,0.026440021179541112,0.05158930479828901
24,dodge,d200,1,gas,turbo,2,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.8,2128,OHC (Overhead Camshaft),4,1.63,Multi-Point Fuel Injection,3.03,3.39,7.6,102,5500,24,30,7957,0.047932330827067667,509815.59199999995,0.8,0,3.148937089131887,2.0469292995564716,2.2951837603788148,0.0029144189308633554,0.11233987476848008,0.14096490011015936
25,dodge,monaco,1,gas,standard,4,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.6,1967,OHC (Overhead Camshaft),4,1.5,2-Barrel Carburetor,2.97,3.23,9.4,68,5500,31,38,6229,0.03457041179461108,507808.444,0.8157894736842105,0,4.509878543162572,2.6555098141077016,2.8413127621294243,0.2900420473288309,0.2620448403354699,0.25017304686255987
26,dodge,colt,1,gas,standard,4,sedan,Front Wheel Drive,front,93.7,157.3,63.8,50.6,1989,OHC (Overhead Camshaft),4,1.5,2-Barrel Carburetor,2.97,3.23,9.4,68,5500,31,38,6692,0.03418803418803419,507808.444,0.8157894736842105,0,4.51841229025334,2.6496831792846414,2.844019874397132,0.2918424734649172,0.2606115440916674,0.2507143818088077
27,dodge,colt,1,gas,standard,4,sedan,Front Wheel Drive,front,93.7,157.3,63.8,50.6,1989,OHC (Overhead Camshaft),4,1.5,2-Barrel Carburetor,2.97,3.23,9.4,68,5500,31,38,7609,0.03418803418803419,507808.444,0.8157894736842105,0,4.51841229025334,2.6496831792846414,2.844019874397132,0.2918424734649172,0.2606115440916674,0.2507143818088077
28,dodge,coronet,1,gas,turbo,2,sedan,Front Wheel Drive,front,93.7,157.3,63.8,50.6,2191,OHC (Overhead Camshaft),4,1.63,Multi-Point Fuel Injection,3.03,3.39,7.6,102,5500,24,30,8558,0.04655408489274304,507808.444,0.8,0,3.151605456656666,2.0092610480230344,2.2819530573325766,0.003477383661502429,0.10307384642227144,0.1383191871828484
29,dodge,dart,-1,gas,standard,4,wagon,Front Wheel Drive,front,103.3,174.6,64.6,59.8,2535,OHC (Overhead Camshaft),4,2.03,2-Barrel Carburetor,3.34,3.46,8.5,88,5000,24,30,8921,0.03471400394477318,674493.7679999998,0.8,0,5.680210567835896,3.5077626459135933,3.9138914279151447,0.5369554304779832,0.47169085723752835,0.4646541089580507
30,dodge,coronet,3,gas,turbo,2,hatchback,Front Wheel Drive,front,95.9,173.2,66.3,50.2,2811,OHC (Overhead Camshaft),4,2.6,Mechanical Fuel Injection,3.6,3.9,7.0,145,5000,19,24,12964,0.05158306652436855,576454.632,0.7916666666666666,0,4.125069970881545,2.9158201314409453,3.429008649672132,0.20885620908499994,0.326078680002259,0.3676932271254911
31,honda,civic,2,gas,standard,2,hatchback,Front Wheel Drive,front,86.6,144.6,63.9,50.8,1713,OHC (Overhead Camshaft),4,1.53,1-Barrel Carburetor,2.91,3.41,9.6,58,4800,49,54,6479,0.033858727378867484,469388.95199999993,0.9074074074074074,0,4.296396213279632,1.619470868934884,1.7067478278177388,0.24500214138532422,0.00718920348102889,0.023296734765479582
32,honda,civic cvcc,2,gas,standard,2,hatchback,Front Wheel Drive,front,86.6,144.6,63.9,50.8,1819,OHC (Overhead Camshaft),4,1.53,1-Barrel Carburetor,2.91,3.41,9.2,76,6000,31,38,6855,0.04178119846069269,469388.95199999993,0.8157894736842105,0,3.18325144093352,1.8151927550915965,1.943586859048152,0.010153965072716974,0.05533490898295955,0.07065688519953124
33,honda,civic,1,gas,standard,2,hatchback,Front Wheel Drive,front,93.7,150.0,64.0,52.6,1837,OHC (Overhead Camshaft),4,1.32,1-Barrel Carburetor,2.91,3.07,10.1,60,5500,38,42,5399,0.0326619488296135,504960.0,0.9047619047619048,0,4.05277161375804,1.7189458376647688,1.8543220983319526,0.19360290354679327,0.03165909105123174,0.05280681853604309
34,honda,accord cvcc,1,gas,standard,2,hatchback,Front Wheel Drive,front,93.7,150.0,64.0,52.6,1940,OHC (Overhead Camshaft),4,1.53,1-Barrel Carburetor,2.91,3.41,9.2,76,6000,30,34,6529,0.03917525773195876,504960.0,0.8823529411764706,0,3.6029355298174712,1.9324807543383922,2.107810467294172,0.0986977424414778,0.08418663109504601,0.10349629832729243
35,honda,civic cvcc,1,gas,standard,2,hatchback,Front Wheel Drive,front,93.7,150.0,64.0,52.6,1956,OHC (Overhead Camshaft),4,1.53,1-Barrel Carburetor,2.91,3.41,9.2,76,6000,30,34,7129,0.03885480572597137,504960.0,0.8823529411764706,0,3.6091418913380298,1.9275977361252683,2.1091338106016067,0.10000714326772245,0.08298545548067764,0.10376092421176089
36,honda,accord lx,0,gas,standard,4,sedan,Front Wheel Drive,front,96.5,163.4,64.0,54.5,2010,OHC (Overhead Camshaft),4,1.53,1-Barrel Carburetor,2.91,3.41,9.2,76,6000,30,34,7295,0.03781094527363184,569939.2000000001,0.8823529411764706,0,5.0352426134665675,2.9516574728927463,3.1541400175009704,0.4008818921326824,0.3348943220410293,0.31272838580859
37,honda,civic 1500 gl,0,gas,standard,4,wagon,Front Wheel Drive,front,96.5,157.1,63.9,58.3,2024,OHC (Overhead Camshaft),4,1.53,1-Barrel Carburetor,2.92,3.41,9.2,76,6000,30,34,7295,0.037549407114624504,585255.6269999999,0.8823529411764706,0,5.293913645470263,3.264338845131548,3.4722519560702603,0.455455584288584,0.41181093856952067,0.376340490567
38,honda,accord,0,gas,standard,2,hatchback,Front Wheel Drive,front,96.5,167.5,65.2,53.3,2236,OHC (Overhead Camshaft),4,1.83,1-Barrel Carburetor,3.15,3.58,9.0,86,5800,27,33,7895,0.038461538461538464,582089.2999999999,0.8181818181818182,0,3.941995337332106,1.9712650296422907,2.261412430728404,0.17023163401955993,0.0937271905774545,0.13421172583693164
39,honda,civic 1300,0,gas,standard,2,hatchback,Front Wheel Drive,front,96.5,167.5,65.2,53.3,2289,OHC (Overhead Camshaft),4,1.83,1-Barrel Carburetor,3.15,3.58,9.0,86,5800,27,33,9095,0.037570991699432066,582089.2999999999,0.8181818181818182,0,3.9625539098689564,1.9576949599352682,2.268400933558232,0.17456902425649534,0.09038908367186373,0.13560920049982808
40,honda,prelude,0,gas,standard,4,sedan,Front Wheel Drive,front,96.5,175.4,65.2,54.1,2304,OHC (Overhead Camshaft),4,1.83,1-Barrel Carburetor,3.15,3.58,9.0,86,5800,27,33,8845,0.03732638888888889,618691.9280000001,0.8181818181818182,0,5.245999643284248,3.0206343914573663,3.337158829005854,0.44534682187710767,0.351861981983688,0.34932623203394464
41,honda,accord,0,gas,standard,4,sedan,Front Wheel Drive,front,96.5,175.4,62.5,54.1,2372,OHC (Overhead Camshaft),4,1.83,1-Barrel Carburetor,3.15,3.58,9.0,86,5800,27,33,10295,0.03625632377740304,593071.25,0.8181818181818182,0,4.982244524189618,3.004328837642798,3.347230311653659,0.38970050322087746,0.3478509722421739,0.3513402030032396
42,honda,civic,0,gas,standard,4,sedan,Front Wheel Drive,front,96.5,175.4,65.2,54.1,2465,OHC (Overhead Camshaft),4,1.83,Multi-Point Fuel Injection,3.15,3.58,9.0,101,5800,24,28,12945,0.040973630831643,618691.9280000001,0.8571428571428571,0,5.192712429102123,3.138710728947476,3.5176866792965837,0.4341044342000083,0.38090762773734466,0.38542596653668826
43,honda,civic,1,gas,standard,2,sedan,Front Wheel Drive,front,96.5,169.1,66.0,51.0,2293,OHC (Overhead Camshaft),4,1.83,2-Barrel Carburetor,3.15,3.58,9.1,100,5500,25,31,10345,0.043610989969472304,569190.6,0.8064516129032258,0,3.892149551827609,2.116398565078781,2.428656129081884,0.1597153093568405,0.1294286473373,0.1676550593618952
44,isuzu,mu x,0,gas,standard,4,sedan,Rear Wheel Drive,front,94.3,170.7,61.8,53.5,2337,OHC (Overhead Camshaft),4,1.85,2-Barrel Carburetor,3.31,3.23,8.5,78,4800,24,29,6785,0.03337612323491656,564385.4099999999,0.8275862068965517,0,4.4884632095676915,2.817502478875912,3.1468275370605507,0.2855239000358388,0.30189348110096126,0.31126612609613824
45,isuzu,d max,1,gas,standard,2,sedan,Front Wheel Drive,front,94.5,155.9,63.6,52.0,1874,OHC (Overhead Camshaft),4,1.5,2-Barrel Carburetor,3.03,3.11,9.6,70,5400,38,43,8916,0.03735325506937033,515592.48,0.8837209302325582,0,4.094960340167291,1.846238139305827,1.9959666109893024,0.20250376325912142,0.06297177553336583,0.08113114241441483
46,isuzu,d max v cross,0,gas,standard,4,sedan,Front Wheel Drive,front,94.5,155.9,63.6,52.0,1909,OHC (Overhead Camshaft),4,1.5,2-Barrel Carburetor,3.03,3.11,9.6,70,5400,38,43,8916,0.03666841278156103,515592.48,0.8837209302325582,0,4.908536755993513,2.635802575470967,2.7991074629806647,0.37414984406946805,0.25719704877627353,0.24173335131738263
47,isuzu,d max,2,gas,standard,2,hatchback,Rear Wheel Drive,front,96.0,172.6,65.2,51.4,2734,OHC (Overhead Camshaft),4,1.98,spfi,3.43,3.23,9.2,90,5000,24,29,11048,0.03291880029261156,578430.928,0.8275862068965517,0,4.264418893840628,2.1645749741812024,2.6478953775947014,0.23825565580664457,0.14127958159065443,0.21149582216468668
48,jaguar,xj,0,gas,standard,4,sedan,Rear Wheel Drive,front,113.0,199.6,69.6,52.8,4066,DOHC (Double Overhead Camshaft),6,4.3,Multi-Point Fuel Injection,3.63,4.17,8.1,176,4750,15,19,32250,0.04328578455484506,733506.0479999998,0.7894736842105263,1,6.547099670831124,4.619250047158436,5.619250047158436,0.719849273185084,0.7451060901491552,0.8056707071588524
49,jaguar,xf,0,gas,standard,4,sedan,Rear Wheel Drive,front,113.0,199.6,69.6,52.8,4066,DOHC (Double Overhead Camshaft),6,4.3,Multi-Point Fuel Injection,3.63,4.17,8.1,176,4750,15,19,35550,0.04328578455484506,733506.0479999998,0.7894736842105263,1,6.547099670831124,4.619250047158436,5.619250047158436,0.719849273185084,0.7451060901491552,0.8056707071588524
50,jaguar,xk,0,gas,standard,2,sedan,Rear Wheel Drive,front,102.0,191.7,70.6,47.8,3950,OHC (Overhead Camshaft),12,5.43,Multi-Point Fuel Injection,3.54,2.76,11.5,262,5000,13,17,36000,0.06632911392405064,646926.1559999998,0.7647058823529411,1,4.338826684323335,4.447584967951867,5.402588846927817,0.2539540037057091,0.702878128265386,0.7623454706771949
51,mazda,rx3,1,gas,standard,2,hatchback,Front Wheel Drive,front,93.1,159.1,64.2,54.1,1890,OHC (Overhead Camshaft),4,1.52,2-Barrel Carburetor,3.03,3.15,9.0,68,5000,30,31,5195,0.03597883597883598,552589.302,0.967741935483871,0,4.103023786796749,1.9556803550613355,2.1116151882653695,0.20420496671689897,0.08989351020857994,0.10425711953408164
52,mazda,glc,1,gas,standard,2,hatchback,Front Wheel Drive,front,93.1,159.1,64.2,54.1,1900,OHC (Overhead Camshaft),4,1.52,2-Barrel Carburetor,3.03,3.15,9.0,68,5000,31,38,6095,0.035789473684210524,552589.302,0.8157894736842105,0,3.932102982259711,1.9527948698209299,2.112608678975313,0.16814457256456847,0.08918370853364868,0.10445578556152364
53,mazda,rx2,1,gas,standard,2,hatchback,Front Wheel Drive,front,93.1,159.1,64.2,54.1,1905,OHC (Overhead Camshaft),4,1.52,2-Barrel Carburetor,3.03,3.15,9.0,68,5000,31,38,6795,0.03569553805774278,552589.302,0.8157894736842105,0,3.9340424702348855,1.9513634873788388,2.1131167845083967,0.16855376032276995,0.08883160219096624,0.10455739024364971
54,mazda,rx 4,1,gas,standard,4,sedan,Front Wheel Drive,front,93.1,166.8,64.2,54.1,1945,OHC (Overhead Camshaft),4,1.52,2-Barrel Carburetor,3.03,3.15,9.0,68,5000,31,38,6695,0.03496143958868895,579333.0960000001,0.8157894736842105,0,5.1324710561322435,2.940177362381521,3.117446563312475,0.42139487751698523,0.33207032503866796,0.305390881085302
55,mazda,glc,1,gas,standard,4,sedan,Front Wheel Drive,front,93.1,166.8,64.2,54.1,1950,OHC (Overhead Camshaft),4,1.52,2-Barrel Carburetor,3.08,3.15,9.0,68,5000,31,38,7395,0.03487179487179487,579333.0960000001,0.8157894736842105,0,5.134410544107418,2.9388113644251175,3.118020053331246,0.4218040652751866,0.3317343026519197,0.3055055605510147
56,mazda,626,3,gas,standard,2,hatchback,Rear Wheel Drive,front,95.3,169.0,65.7,49.6,2380,Rotary Engine,2,1.17,4-Barrel Carburetor,3.33,3.255,9.4,101,6000,17,23,10945,0.04243697478991597,550723.68,0.7391304347826086,0,3.4966944026385205,2.0013637429953457,2.347368397766486,0.07628328604081974,0.10113118518193587,0.15140014072141705
57,mazda,glc,3,gas,standard,2,hatchback,Rear Wheel Drive,front,95.3,169.0,65.7,49.6,2380,Rotary Engine,2,1.17,4-Barrel Carburetor,3.33,3.255,9.4,101,6000,17,23,11845,0.04243697478991597,550723.68,0.7391304347826086,0,3.4966944026385205,2.0013637429953457,2.347368397766486,0.07628328604081974,0.10113118518193587,0.15140014072141705
58,mazda,rx 7,3,gas,standard,2,hatchback,Rear Wheel Drive,front,95.3,169.0,65.7,49.6,2385,Rotary Engine,2,1.17,4-Barrel Carburetor,3.33,3.255,9.4,101,6000,17,23,13645,0.042348008385744235,550723.68,0.7391304347826086,0,3.4986338906136956,2.000008081105859,2.3479522238521744,0.07669247379902132,0.10079770536844608,0.15151688706640035
59,mazda,glc,3,gas,standard,2,hatchback,Rear Wheel Drive,front,95.3,169.0,65.7,49.6,2500,Rotary Engine,2,1.33,Multi-Point Fuel Injection,3.33,3.255,9.4,135,6000,16,23,15645,0.054,550723.68,0.6956521739130435,0,3.404792399506039,2.3555079041445826,2.7480602703199124,0.05689405799849646,0.1882472498323003,0.23152556288365425
60,mazda,626,1,gas,standard,2,hatchback,Front Wheel Drive,front,98.8,177.8,66.5,53.7,2385,OHC (Overhead Camshaft),4,2.03,2-Barrel Carburetor,3.39,3.39,8.6,84,4800,26,32,8845,0.03522012578616352,634932.6900000001,0.8125,0,4.628026061533954,2.259279548735913,2.607223691482228,0.3149684809021558,0.16457599797888547,0.20336279965278786
61,mazda,glc,0,gas,standard,4,sedan,Front Wheel Drive,front,98.8,177.8,66.5,55.5,2410,OHC (Overhead Camshaft),4,2.03,2-Barrel Carburetor,3.39,3.39,8.6,84,4800,26,32,8495,0.034854771784232366,656215.3500000001,0.8125,0,5.641827671556567,3.2037123180357323,3.5613539006579193,0.528857514181078,0.396897394783095,0.39415799926780476
62,mazda,glc,1,gas,standard,2,hatchback,Front Wheel Drive,front,98.8,177.8,66.5,53.7,2385,OHC (Overhead Camshaft),4,2.03,2-Barrel Carburetor,3.39,3.39,8.6,84,4800,26,32,10595,0.03522012578616352,634932.6900000001,0.8125,0,4.628026061533954,2.259279548735913,2.607223691482228,0.3149684809021558,0.16457599797888547,0.20336279965278786
63,mazda,rx 4,0,gas,standard,4,sedan,Front Wheel Drive,front,98.8,177.8,66.5,55.5,2410,OHC (Overhead Camshaft),4,2.03,2-Barrel Carburetor,3.39,3.39,8.6,84,4800,26,32,10245,0.034854771784232366,656215.3500000001,0.8125,0,5.641827671556567,3.2037123180357323,3.5613539006579193,0.528857514181078,0.396897394783095,0.39415799926780476
64,mazda,glc,0,diesel,standard,4,sedan,Front Wheel Drive,front,98.8,177.8,66.5,55.5,2443,OHC (Overhead Camshaft),4,2.03,Indirect Diesel Injection,3.39,3.39,22.7,64,4650,36,42,10795,0.026197298403602128,656215.3500000001,0.8571428571428571,0,6.309200328343702,2.988457201073695,3.3588994043320337,0.6696579340914413,0.3439467019784086,0.3536736443359694
65,mazda,626,0,gas,standard,4,hatchback,Front Wheel Drive,front,98.8,177.8,66.5,55.5,2425,OHC (Overhead Camshaft),4,2.03,2-Barrel Carburetor,3.39,3.39,8.6,84,4800,26,32,11245,0.03463917525773196,656215.3500000001,0.8125,0,5.64764613548209,3.200427077981316,3.5638871245290273,0.5300850774556822,0.3960892572606698,0.394664562155668
66,mazda,glc,0,gas,standard,4,sedan,Rear Wheel Drive,front,104.9,175.0,66.1,54.4,2670,OHC (Overhead Camshaft),4,2.33,Multi-Point Fuel Injection,3.76,3.16,8.0,120,5000,19,27,18280,0.0449438202247191,629271.9999999999,0.7037037037037037,1,5.082278533815341,3.661651420659709,4.120146377990974,0.4108053992896291,0.5095460188368145,0.5058984317903622
67,mazda,rx 7,0,diesel,standard,4,sedan,Rear Wheel Drive,front,104.9,175.0,66.1,54.4,2700,OHC (Overhead Camshaft),4,2.23,Indirect Diesel Injection,3.43,3.64,22.0,72,4200,31,39,18344,0.02666666666666667,629271.9999999999,0.7948717948717948,1,5.975102500748164,3.1604700977118685,3.63060198289418,0.5991709071834808,0.3862602236120826,0.4080053772736212
